exminhyunxtails	840625819970097153	งั้นคืนนี้มานอนกอดกันเลยดีมั้ยครับ พี่จองตัวแล้วนะ ห้ามให้ใครมากอดล่ะ
Klypuku	840625810138525696	นั่งรถตู้ตามแล้วแต่ดวงด้วยอ่ะ บางทีก็ฟิน บางทีก็นก แต่เหนื่อยไม่เอาล่ะ
CMFCGIRLS	840625787879399424	การคุยครั้งนี้ไม่รีบร้อน ค่อยๆเป็นค่อยๆไป ไม่อยากนกแล้วอ่ะแกร์
rinnyu	840625739707764736	เพราะเจ๊เบียสวีทแพนิคก็นกตั้งแต่รอบแรกยันรีรัน ขนาดเหนือเมนยังไม่มา
HayhaOfficial	840625734968324096	การถอยหลังไล่นกมันเป็นอย่างนี้!!: http://youtu.be/CU4yKW2_JrI?a  via @YouTube
slowly_yoongi93	840625703871692800	ขอนะ...นกของแจกในทวิตไม่ว่า แต่อย่านกหน้าคอนนะ แม่ขอ
Sakuma_Jirouth	840625683181199360	โคเทย์เพนกวิน ซันโก!
hyunbinblyx	840625669474205696	@damndinox สวัสดีครับน้องเพนกวิ้น
YLLORRAEP	840625550242734080	ไม่เอารังสิ่ เราจะไม่นก
medefyu	840625540226662400	นกที่นอนดึกในคืนนี้คือนกขี้เสือก
2112_2211	840625456311226368	จริงๆ นะ ยังนั่งร้องไห้เพราะเครียดกับปัญหาชีวิต แต่หยุดทันทีเมื่อเข้าแทก #ก็อตคนจริง2017 แล้วเห็นแฟนพี่เขา หูวววว น้ำตาหยุดไหลแล้วนกในแทนค่ะ
OnikiHime	840625428817616896	แต้มบุญน่าจะหมดไปกับความดวงดีชหในบั้มลิมิตเลสแล้ว บั้มเดอะเฟิร์สน่าจะนกการ์ดจวิ้นแหงๆ
jugt_endless	840625133077196800	เย้! เพราะพี่นกเลยนะเนี่ย! ขอบคุณอีกสิบครั้งเลยค่ะ pic.twitter.com/eblqKgupNG
_MINGYU1997	840625082393284608	นกจริงๆเพราะพี่ล่านี้แหละ pic.twitter.com/HMMbf4tMU3
_PJH99x	840625047001686016	@owlcuteboy ฮ.นกฮูกตาโต  
urbabyjihoon	840624907222315008	ถึงนกฮูกจะมีพุงแต่นกฮูกก็ไม่อ้วนนะครับ~(￣^￣)ゞ
guvenilex	840624776561352705	ถ้าแจมินกลับมา180นะ ม่างเอ้ย ชี้นกเป็นไม้ดิชั้นก็เชื่อ บอกว่าช้างคือมดตะนอยยังเชื่อเลย ไล่พี่ไปโดดตึกพี่ก็จะถามว่าชั้นไหน ใช่ชั้นรักเธอมั้ย
monniezll	840624685469466624	รอแล้วนกมาหลายวันแย้วนะ จะมาก็มาเถอะ  #จางยงจุน
berrymhaiko	840624668700688384	เวอร์สัตว์ปะ ขายชุดไปหมดแล้วอ่ะ ทั้งอุมิและนก ฮือม
isamber	840624567831810049	นก กุนี่แหละ พญานก !! นกซ้ำนกซ้อน นกในวันเดียว
jigjawcoolkids	840624547237842944	ขอแอคเพนกวิน เดี๋ยวดีด้วย @daboytyong
jaehyunbunchx	840624541021876224	อยากจับมานอนกอดให้หมดเลยค้าบแบบนี้
bessu14	840624534621315072	นก..... pic.twitter.com/wiFlWF0l9D
sr1995yt	840624533979578368	นกฮูกอ้วนๆนี่เอง
crushon09x10	840624459794993152	เราไปช่วยได้มั้ย5555 กะว่าจะไปแจกของด้วย อยู่ยันคอนเลิกได้แต่นกบัตรเฉยๆ มานั่งร้องไห้เป็นเพื่อนเราหน่อยย
KitsaNews	840624389909504000	ใจเย็นนนน สู้ๆนะเด็กๆเสียงนกเสียงกาปล่อยมันไป
urbabyjihoon	840624363414081536	อย่าเกลียดนกฮูกตั้งแต่แรกพบสิครับ~（´-`）.｡oO（
tytheuniverse	840624228470681600	ฮือ ถ้านกอยากให้เขาแจกไฟล์รูปมาก แง55555555555555555555 ฮึก แต่แบบ
mnamow	840624218072993792	จำได้เลย เริ่มท็อปปิคที่บ้านนกขมิ้น จบที่ไปกินข้าวต้มบ้านมัมอะ https://twitter.com/Kanomtangz/status/840611485185318912 …
halfheartbeat	840624110086443008	ครอบครัวนกฮูก
bossvisss	840624106454233088	นก นก นก นก 
hydraJ_x98	840624047926915072	รักกันไว้เถิด อากาเซร่วมแดนไทย จะชิปคู่ไหน๊ ก็นกด้วยกัน...
jungwoothx	840623950413492226	มานอนกอดพี่มั้ยครับ
goodbyerousseau	840623781693423616	หนูรู้... แต่ไม่นะพี่นกฮูกอย่าล่อลวงหนู....
NeayPawee	840623740572467200	นกมาหลายที https://twitter.com/hbker07/status/840463894061563905 …
BYSN02	840623660314456064	พ่อจะให้ลูกมีแฟนเป็นสัตว์แีกหมดเลยเหรอคะ555 น้องบอกว่าพี่เบนเป็นนก อยากตบปากมันสัก100ที
exjihoonwishx	840623586129846272	กไม่นก
tuy_igot777	840623535341019136	สู้ๆนะ เหล่านกน้อยจะอยู่เคยงข้างพี่เสมอ รักพี่นะ 
thisispuinoon_k	840623472183201792	เราไม่อยากนกกดบัตรให้น้อง วอนอย่ากดเล่นๆกันเลยนะคะ
