mg9993_	859107417363161088	ไม่นกนะคะแต่ไม่สนใจค่ะ5555555555555 #BTSBBMAs
Ninglucky	859107396081270784	#แอนเคน ช่วงจบสวรรค์เบี่ยง คู่นี้เหมือนเสกไม้เป็นไม้ เสกนกเป็นนก แฟนคลับคุยกันเรื่องสูตรเสน่หาว่าเหมาะกับพี่แอนนะ ละก็ได้เล่นจริงๆ 555
Azel_Kun	859107235930152960	นี่นกมาสองถึงสามรายได้ เฟลไม่กลับเข้าคอมมูมาเกือบเดือนล่ะ วงวารตัวเองแปป 5555555555 /เธอต้องมางานเดือนนี้แล้ว มาอุดหนุน /ขายตรง(....)
SHlinho2019	859107233153536001	"สมแล้วที่เป็นติ่งแต่นกตลอดเวลา 
#สมแล้วที่เป็นประเทศด้อยพัฒนา"
callmebotan	859107154434838528	คู่วีก้าชอบเพราะแทแทคนนก นกแล้วนกอีก คนพี่ก็ซึน มึนๆดีคู่นี้ #BTSBBMAs
jjackjjae	859107104644255746	"ตัวเองอ่าอย่าเมินเค้าซี้ 
*พี่จอบคนนก
#BTSBBMAspic.twitter.com/WZB13udpAr"
ww__yemy	859107082250866688	เราจะจำไว้ ต่อไปนี้ถ้าร้านที่เคยซื้อด้วยไม่เปิดพรี ก็จะไม่ไปพรีกะร้านอื่นอีกแล้ว นกก็คือนก
mmminnnttt	859107069290356736	โปรดเห็นใจพรี่ พรี่นกมา 2 ปีแล้ว (หรือมากกว่านั้น?) ฮืออ คิดแล้วโซแซด
pw_nch	859107038248423428	ตอนนี้ดีใจที่น้องมีความสุขแล้ววว ลุงริคใจดีหาคู่ให้น้อง หลังจากที่นกมาตั้งนาน....
kimnqan_	859107019269197826	เรามาท่อง ก.ไก่ ถึง ฮ.นกฮูกกัน #BTSBBMAs
whodatwhodatjuu	859106918773645312	ปัยยยยยย แต่จะได้ไปมั้ยไม่รู้ ดูนกง่าย555555
