yata_th	848235855198081024	ก็ดีแล้ว แกชอบเพนกวิ้น บ่งบอกตัวแกดีจะตาย คนไม่ค่อยรู้ด้วยว่าแกชอบ ถ้าไปแข่งก็จับทางไม่ได้ใช่ไหมล่ะ! https://twitter.com/fushimi_thb/status/848235307325464576 …
yoursbluemoon	848235775544090624	โอ้ยขอพิฮุนเถอะ เป็นเมนคนแรกในชีวิตเลยมั้งที่เคยซื้อบั้มแล้วได้การ์ด อะ พี่กยูนี่นกตลอดชีวิตการติ่ง.......
_Suk13	848235769848143872	พี่ พูดแล้วเรื่องนี้มันเฮิร์ท แพงก็แพง5555555555555555555555555 แต่ก็ซื้อ ล่าสุดไม่นกมาด้วย ฮรุกกกกกกกก
MGhousewife_406	848235742996213760	แม่เชื่อว่าหนูจะไปได้ไกลในวงการอาหาร ไม่ต้องเป็นนักร้องแล้วลูก @มินกยู
ibmewx	848235712331653120	ชั่ยค่ะพี่นกกกกกกกกกกก สนุกกกกกกกกกกกกกกก เป็นเอ็มกี กับไม่รู้ว่าจะลงเอยที่ฮยองวอนโฮหรือกี้โฮ555555555555555555555555555555555555555
sugus_preeyapa	848235632824537088	"นกที่จากรังซักวันต้องคืนถิ่น
เสือที่จากถ้ำมันก็ยังไม่ลืมกลิ่น
วันนี้ไม่เห็นค่า วันหน้าไม่มีมึง"
aomamm_23	848235442906349568	เสียงนกเสียงกาไรพูดจาเพ้อเจ้อ!! pic.twitter.com/7wGzJ4jEqj
bnnch__	848235414250864641	อยากเล่นแต่กลัวนก เพราะอะไรน่ะเหรอ คนไม่อ่านฟิคเราไง!! 5555555 #อ่านฟิคของเราแล้วคิดว่าเราเป็นคนยังไง
kxntember	848235256163450880	"ระฆังดังเพราะคนตี
นกผู้ชายดีดี
เพราะนอกใจ
ขอบคุณค่าาาาาา #diarytootsies2"
aompooonim	848235102832271360	นกคักเด้อ โทษตัวเองมากถ้าตั้งใจเก็บเงินมากกว่านี้ ไม่ซื้อของเล่นอย่างอื่น #pentagoninBkk
MMimmok	848235095206969345	ยังไม่นับมัตซึนโออิของกซร.ซัง โบคุโรของซร.ซัง ละนกมิซาวะอีกเพียบด้วย ตามไม่ทน ฮือออๆๆๆๆๆๆๆ
iiitoies	848235070443864064	เค้าสิ ไม่ใช่เข้า นกจนเบลอล้ะอีนี่
withfired	848234856865611777	มันถุงละเท่าไหร่ บ้านเราไม่มีช้อปนี้ นก 1 แถม 1 เรย ฮือ
vnd___	848234836724666368	เป็นนี่ นี่คว้าโรมมานอนกอดละเเม่ง นอนชิดดินขนาดนั้น 555555#ปิ๊กโรม
SEPWISHES	848234805930016768	ตอนแรกคิดแค่ว่าแจมินกลับไปหาแฟนเก่าแต่มันไม่ใช่เลยไม่ใช่แบบนั้น มันหน่วงอะหน่วงมากในหัวมีแต่คำว่าทำไม
tariya_arkorn	848234748803547136	พรุ่งนี้ ทีมคนไปคอน ฝากเก็บภาพให้ด้วยนะ จากทีมนกจิ๊บๆคอน #ชาผสมกาแฟ
Kurohane1	848234718990487552	ไอดีไหนได้ไม่ตรงพิคอัพก็ไม่ตรงตลอดอีเว้นท์ มันท้อนะเว้ย บางทีกูรอมาเป็นปี....เพื่อ....เพื่อนนก? อย่างนี้ก็ได้หรอวะ
MMimmok	848234714594910208	ขนาดเลือกโทระยังนกฟิคที่คุโร่วซังวาดโดกับปกเล่มสองเล้ยยยยยยยยยยย ถ้าฉันซื้อเล่มแรกมาแต่นกเล่มสองมันจะมีความหมายเร้ออออ 55555555555555
mnischengxiao	848234610353778688	โอ้ยอยากได้พี่มินกยู พี่แม้ะออกปัย
